,city,country,population,year
3481,Guiyang,China,2374270.0,2000
8824,Algiers,Algeria,2364230.0,2008
3466,Zhongshan,China,2363322.0,2000
3628,Nanchang,China,2357839.0,2010
4249,Toshkent,Uzbekistan,2352900.0,2014
7582,Cali,Colombia,2344734.0,2014
3475,Huizhou,China,2344634.0,2010
4762,Pyongyang,North Korea,2335000.0,1987
4991,Bekasi,Indonesia,2334871.0,2010
4446,Jaipur,India,2324319.0,2001
3695,Jinan,China,2320000.0,1991
5390,Incheon,South Korea,2307618.0,1995
3717,Linyi,China,2303648.0,2010
8815,Guayaquil,Ecuador,2291158.0,2010
6139,Toronto,Canada,2275771.0,1991
3607,Nantong,China,2274113.0,2010
5268,Nagoya,Japan,2263894.0,2010
156,Paris,France,2249975.0,2011
7316,La Habana,Cuba,2241000.0,1994
7996,Belo Horizonte,Brazil,2238526.0,2000
2674,Izmir,Turkey,2232265.0,2000
3707,Yantai,China,2227733.0,2010
3737,Taiyuan,China,2224580.0,1990
4910,Al Jizah,Egypt,2221868.0,1996
7464,Medellín,Colombia,2219861.0,2005
5267,Nagoya,Japan,2215062.0,2005
7846,Salvador,Brazil,2209465.0,1996
7317,La Habana,Cuba,2201610.0,2002
155,Paris,France,2201578.0,2006
7041,Houston,United States,2195914.0,2013
4470,Lucknow,India,2185927.0,2001
5269,Nagoya,Japan,2182154.0,2012
5135,Halab,Syria,2181061.0,2004
5537,Quezon City,Philippines,2173831.0,2000
5266,Nagoya,Japan,2171557.0,2000
4107,Lahore,Pakistan,2169742.0,1972
9119,Kano,Nigeria,2166554.0,1991
7318,La Habana,Cuba,2156650.0,2007
153,Paris,France,2152423.0,1990
4266,Baku,Azerbaijan,2150800.0,2013
7637,Brisbane,Australia,2146577.0,2011
9497,Nairobi,Kenya,2143254.0,1999
3606,Nantong,China,2142884.0,2000
7319,La Habana,Cuba,2141993.0,2009
7892,Fortaleza,Brazil,2141402.0,2000
3713,Zaozhuang,China,2125481.0,2010
154,Paris,France,2125246.0,1999
3427,Fuzhou,China,2124435.0,2000
3571,Changsha,China,2122873.0,2000
3640,Changchun,China,2110000.0,1991
5265,Nagoya,Japan,2108000.0,1995
4248,Toshkent,Uzbekistan,2106000.0,1993
4941,Medan,Indonesia,2097610.0,2010
3804,Baotou,China,2096851.0,2010
7040,Houston,United States,2096798.0,2010
7995,Belo Horizonte,Brazil,2091770.0,1996
3440,Lanzhou,China,2087703.0,2000
8823,Algiers,Algeria,2086212.0,1998
9448,Addis Ababa,Ethiopia,2084588.0,1994
7581,Cali,Colombia,2075380.0,2005
5577,Singapore,Singapore,2074507.0,1970
7845,Salvador,Brazil,2073510.0,1991
9274,Accra,Ghana,2070463.0,2010
3702,Qingdao,China,2060000.0,1991
4978,Bandung,Indonesia,2058649.0,1990
3430,Xiamen,China,2053070.0,2000
4406,Nagpur,India,2051320.0,2001
4265,Baku,Azerbaijan,2045800.0,2009
3710,Weifang,China,2044028.0,2010
2469,Bucureşti,Romania,2037000.0,1989
9254,Kumasi,Ghana,2035064.0,2010
9183,Ekurhuleni - Germiston,South Africa,2026807.0,1996
4280,Chittagong,Bangladesh,2023489.0,2001
856,Budapest,Hungary,2016681.0,1990
857,Budapest,Hungary,2016000.0,1992
7994,Belo Horizonte,Brazil,2013257.0,1991
4112,Faisalabad,Pakistan,2008861.0,1998
9496,Nairobi,Kenya,2000000.0,1991
3712,Zaozhuang,China,1996798.0,2000
8814,Guayaquil,Ecuador,1994518.0,2001
5536,Quezon City,Philippines,1989000.0,1995
2673,Izmir,Turkey,1985300.0,1994
9174,Tshwane,South Africa,1982235.0,2001
8805,Caracas,Venezuela,1975786.0,2000
7039,Houston,United States,1973648.0,2000
8804,Caracas,Venezuela,1973407.0,1992
3492,Shijiazhuang,China,1969975.0,2000
7891,Fortaleza,Brazil,1967365.0,1996
3939,Mashhad,Iran,1964489.0,1994
4393,Indore,India,1964086.0,2011
8634,Brasília,Brazil,1961499.0,2000
3738,Taiyuan,China,1960000.0,1991
3716,Linyi,China,1938510.0,2000
2471,Bucureşti,Romania,1931838.0,2007
9228,Abidjan,Cote dIvoire,1929079.0,1988
2470,Bucureşti,Romania,1926334.0,2002
3779,Wenzhou,China,1915548.0,2000
5154,Sapporo,Japan,1913545.0,2010
4940,Medan,Indonesia,1910683.0,2000
9391,Douala,Cameroon,1907479.0,2005
5155,Sapporo,Japan,1904319.0,2012
3940,Mashhad,Iran,1887405.0,1996
2472,Bucureşti,Romania,1883425.0,2011
5639,Tainan,Taiwan,1881645.0,2012
5153,Sapporo,Japan,1880863.0,2005
4472,Kanpur,India,1874409.0,1991
5638,Tainan,Taiwan,1866727.0,2006
5637,Tainan,Taiwan,1846379.0,2003
3627,Nanchang,China,1844253.0,2000
4416,Thane,India,1841488.0,2011
1121,Minsk,Belarus,1836808.0,2009
9141,Ibadan,Nigeria,1835300.0,1991
7668,Perth,Australia,1832114.0,2011
3594,Xuzhou,China,1827306.0,1990
8803,Caracas,Venezuela,1822465.0,1990
5152,Sapporo,Japan,1822368.0,2000
9380,Yaoundé,Cameroon,1817524.0,2005
8633,Brasília,Brazil,1817001.0,1996
5097,Amman,Jordan,1812941.0,2004
8885,Bamako,Mali,1809106.0,2009
5086,Al Mawsil,Iraq,1800000.0,2003
5025,Tangerang,Indonesia,1798601.0,2010
4390,Bhopal,India,1798218.0,2011
7844,Manaus,Brazil,1792881.0,2010
4264,Baku,Azerbaijan,1788900.0,1999
858,Budapest,Hungary,1777921.0,2001
7890,Fortaleza,Brazil,1768637.0,1991
514,Wien,Austria,1761738.0,2013
2672,Izmir,Turkey,1758780.0,1990
3887,Esfahan,Iran,1756126.0,2011
3818,Wulumuqi,China,1753298.0,2000
3529,Zhengzhou,China,1752374.0,1990
8110,Curitiba,Brazil,1751907.0,2010
5151,Sapporo,Japan,1748000.0,1995
4263,Baku,Azerbaijan,1740000.0,1987
4993,Depok,Indonesia,1738570.0,2010
2601,Bursa,Turkey,1734705.0,2012
4939,Medan,Indonesia,1730752.0,1990
859,Budapest,Hungary,1729040.0,2011
4346,Visakhapatnam,India,1728128.0,2011
5628,Kaohsiung,Taiwan,1727892.0,1996
4431,Pimpri Chinchwad,India,1727692.0,2011
3706,Yantai,China,1724404.0,2000
7580,Cali,Colombia,1718871.0,1995
640,Hamburg,Germany,1715392.0,2000
1202,Warszawa,Poland,1711466.0,2009
1203,Warszawa,Poland,1711324.0,2012
3530,Zhengzhou,China,1710000.0,1991
641,Hamburg,Germany,1706696.0,2011
513,Wien,Austria,1698822.0,2010
1201,Warszawa,Poland,1692854.0,2005
639,Hamburg,Germany,1688785.0,1992
6985,Philadelphia,United States,1688210.0,1980
5849,Ecatepec,Mexico,1687549.0,2005
4357,Patna,India,1684222.0,2011
9173,Tshwane,South Africa,1682701.0,1996
1120,Minsk,Belarus,1680500.0,1999
1200,Warszawa,Poland,1671670.0,2002
3803,Baotou,China,1671181.0,2000
4909,Al Jizah,Egypt,1671000.0,1986
4367,Vadodara,India,1670806.0,2011
9440,Conakry,Guinea,1667864.0,2014
3479,Guiyang,China,1664709.0,1990
7636,Brisbane,Australia,1663120.0,2001
5535,Manila,Philippines,1660714.0,2007
3412,Hefei,China,1659075.0,2000
9273,Accra,Ghana,1658937.0,2000
5850,Ecatepec,Mexico,1655015.0,2010
5533,Manila,Philippines,1655000.0,1995
1199,Warszawa,Poland,1655000.0,1990
3778,Wenzhou,China,1650419.0,1990
5786,Guadalajara,Mexico,1650042.0,1990
6190,Montréal,Canada,1649519.0,2011
4512,Ghaziabad,India,1648643.0,2011
5788,Guadalajara,Mexico,1646183.0,2000
79,Beograd,Serbia,1639121.0,2011
